,FloatWMO,ProfNum,Date,Date_6hr,Lat,Lon,MLD,Surf_T,Surf_S,Surf_O,Oxy_Sat,Oxy_Dev,k_L13,Fp_L13,Fc_L13,Fd_L13,Ft_L13,k_N16,Fp_N16,Fc_N16,Fd_N16,Ft_N16
0,4902383,18.0,2016-11-04 07:46:59.999999,2016-11-04 06:00:00.000000,59.90427780151367,-51.38309097290039,,5.12975013256073,34.636353492736816,295.70819091796875,96.24,-11.537808270590176,6.814175166419997e-05,2.592471594961327e-06,7.95452247078923e-07,5.996642264869249e-07,3.987588068527176e-06,0.0001763223475640352,-9.406997873037357e-08,-8.448739705110964e-07,-1.5516801605776173e-06,-2.4906241098190872e-06
0,4902383,19.0,2016-11-14 07:46:59.999999,2016-11-14 06:00:00.000000,59.62588882446289,-51.3712043762207,,4.728999932607015,34.64192008972168,294.59791564941406,94.98,-15.563620670352861,4.5822528255147934e-05,5.866590651010231e-07,1.7962303068519192e-07,2.72947509962568e-07,1.039229605748783e-06,9.789742800778617e-05,-3.350286588170334e-08,-2.998717256398415e-07,-5.831380376411935e-07,-9.165126291627383e-07
0,4902383,20.0,2016-11-24 07:50:00.000000,2016-11-24 06:00:00.000000,59.51728820800781,-51.56296920776367,,3.9612499475479126,34.230648040771484,304.54296875,96.1,-12.35201410905296,7.329926751145409e-05,3.993940733165988e-06,1.195593263427814e-06,8.084010527003806e-07,5.997935049294183e-06,0.00019921310796653874,-1.2498868901157957e-07,-1.1077180452566683e-06,-2.197076337314001e-06,-3.429783071582249e-06
0,4902383,21.0,2016-12-04 07:49:00.000000,2016-12-04 06:00:00.000000,59.31237030029297,-51.61830520629883,,4.085400009155274,34.62541198730469,299.6776916503906,95.13,-15.332394282068265,4.026601712555499e-05,5.879735791793562e-07,1.1698638274733232e-07,4.5646097490119227e-07,1.1614209368278808e-06,8.116067883190581e-05,-2.5248608625450985e-08,-2.246804563729592e-07,-9.200483491510381e-07,-1.1699774141494482e-06
0,4902383,22.0,2016-12-14 07:52:00.000000,2016-12-14 06:00:00.000000,59.82697296142578,-51.67668533325195,,3.5077499747276306,34.49866771697998,302.48339080810547,94.6,-17.26582436557237,3.442088316834877e-05,3.648758176100626e-07,6.799041148476737e-08,3.7839304904047016e-07,8.112592781353001e-07,6.43378810441397e-05,-1.6897611541174073e-08,-1.4943841434419002e-07,-7.072743269841844e-07,-8.736103528695485e-07
0,4902383,23.0,2016-12-24 07:46:00.000000,2016-12-24 06:00:00.000000,59.560115814208984,-49.95342254638672,,3.5901999950408934,34.52770156860352,300.3307189941406,94.14,-18.708116737635066,2.585712967801336e-05,1.9903305890200097e-07,2.2335737303408622e-08,4.031791690978297e-07,6.245479653032393e-07,3.659662313711936e-05,-5.5983729010388525e-09,-4.9558958926185364e-08,-5.706354994520745e-07,-6.257928312792987e-07
0,4902383,24.0,2017-01-03 07:54:00.000000,2017-01-03 06:00:00.000000,59.25416946411133,-49.07390213012695,,3.161500036716461,34.55858612060547,306.8197326660156,95.19,-15.49719041912715,2.408938928592169e-05,1.5929420924941696e-07,1.7813580491592573e-08,3.593073090612929e-07,5.364150988023024e-07,3.214582941916148e-05,-4.440153461655953e-09,-3.915963545460064e-08,-4.794738184953657e-07,-5.230736074116223e-07
0,4902383,25.0,2017-01-13 07:54:59.999999,2017-01-13 06:00:00.000000,59.1033821105957,-48.95561218261719,,3.4230000376701355,34.6923131942749,302.32137298583984,94.49,-17.618924907944688,2.1837619559704184e-05,1.3272904252000066e-07,1.185776949587042e-08,3.7637471376657125e-07,5.209615257824423e-07,2.6231938036434972e-05,-2.8113074346186513e-09,-2.4879362166173038e-08,-4.521114649429943e-07,-4.79802134543786e-07
0,4902383,26.0,2017-01-23 07:53:00.000000,2017-01-23 06:00:00.000000,59.488983154296875,-48.66707229614258,,2.931400012969971,34.617425537109376,306.0290771484375,94.45,-17.968353959344483,4.5567504795070855e-05,8.210527432919408e-07,2.1398257519065725e-07,4.238346317562212e-07,1.4588699502388194e-06,9.951999936359053e-05,-3.873302388912951e-08,-3.410193637891395e-07,-9.256601271529233e-07,-1.3054125148311923e-06
0,4902383,27.0,2017-02-02 07:50:00.000000,2017-02-02 06:00:00.000000,59.43609619140625,-48.216007232666016,,3.133750021457672,34.55141735076904,306.44879150390625,95.01,-16.104868359315617,4.143138225558221e-05,5.799466722468418e-07,1.4491199906042666e-07,3.648405157901244e-07,1.0896991870973927e-06,8.590936357795672e-05,-2.9462891855161035e-08,-2.597646895791062e-07,-7.56509071448129e-07,-1.0457366528823961e-06
0,4902383,28.0,2017-02-12 07:49:00.000000,2017-02-12 06:00:00.000000,59.256317138671875,-48.49235153198242,,3.0209999680519104,34.61303520202637,305.2329559326172,94.41,-18.062657070159617,3.298191219764103e-05,4.1644112800471787e-07,6.084653267072238e-08,5.013525408949104e-07,9.786402015703508e-07,6.050093340373792e-05,-1.5680988297252713e-08,-1.3817265683583843e-07,-9.196645878721111e-07,-1.0735182330052022e-06
0,4902383,29.0,2017-02-22 07:46:59.999999,2017-02-22 06:00:00.000000,59.05857467651367,-49.33030700683594,,2.975499987602234,34.66651248931885,306.0118408203125,94.59,-17.513759920664484,3.581108405145651e-05,5.196563397318765e-07,8.403415270611728e-08,5.221172573611554e-07,1.1258077497991493e-06,6.892456365473909e-05,-2.008724076018869e-08,-1.7699418663837135e-07,-1.0049040707206157e-06,-1.2019854981191756e-06
0,4902383,30.0,2017-03-04 07:50:00.000000,2017-03-04 06:00:00.000000,58.9117317199707,-48.74235534667969,,3.4673333168029785,34.82239850362142,299.5419108072917,93.82,-19.738651462118867,7.322398536143021e-05,3.901996014254472e-06,1.2598918206594585e-06,7.456580141771006e-07,5.907545849091031e-06,0.00020027990071426273,-1.2607565169785996e-07,-1.117286232940255e-06,-2.0394999303718154e-06,-3.2828618150099302e-06
0,4902383,33.0,2017-04-03 07:54:59.999999,2017-04-03 06:00:00.000000,59.05500030517578,-50.50743103027344,,3.3259999752044678,34.83392810821533,299.2438278198242,93.41,-21.110017340810373,6.0532604407554505e-05,3.1259196273647923e-06,6.137594822845763e-07,1.170082212460233e-06,4.909761322109602e-06,0.00015147696564515233,-8.072508763717242e-08,-7.145189562865736e-07,-2.928017137764569e-06,-3.723261181688315e-06
0,4902383,35.0,2017-04-23 07:54:59.999999,2017-04-23 06:00:00.000000,59.115787506103516,-50.96531295776367,,3.2150000095367433,34.82784729003906,303.3535949707031,94.43,-17.884653318366816,3.10746410387615e-05,4.6432716739151914e-07,4.736827774370945e-08,6.840464660646282e-07,1.195741911199857e-06,5.343709611653672e-05,-1.2454062072579206e-08,-1.1011582690100293e-07,-1.1763114724214262e-06,-1.2988813613950083e-06
0,4902383,36.0,2017-05-03 07:49:00.000000,2017-05-03 06:00:00.000000,60.31806945800781,-52.7631950378418,,2.9260000387827554,34.69866689046224,325.3542073567708,100.47,1.5138856581998539,6.650780287444297e-06,6.632248158699586e-11,1.2724800562528343e-10,-4.445569802053646e-09,-4.251999314841367e-09,2.4669913254151817e-06,-0.0,-0.0,1.6490068329123586e-09,1.6490068329123586e-09
0,4902383,37.0,2017-05-13 07:48:00.000000,2017-05-13 06:00:00.000000,59.715450286865234,-52.72101974487305,,2.6866000652313233,34.33306045532227,367.9366943359375,112.63,41.2708515509085,2.1603145563087547e-05,-2.483403192330586e-07,1.2314707018864932e-08,-8.980160955909184e-07,-1.134041707805112e-06,2.618638858836791e-05,-2.978408838091125e-09,-2.610606786593549e-08,1.0885358509055867e-06,1.0594513742015602e-06
0,4902383,38.0,2017-05-23 07:51:00.000000,2017-05-23 06:00:00.000000,59.94876480102539,-51.195438385009766,,2.752600002288818,34.32345809936523,356.19988403320315,109.21,30.04259440024532,8.492355709687055e-06,-1.495577490173852e-08,3.327131936934682e-10,-2.684832168374348e-07,-2.8310627854547984e-07,4.0391734797846586e-06,-4.0634521341326354e-12,-3.563635616339325e-11,1.2769722869474597e-07,1.2765752888644843e-07
0,4902383,39.0,2017-06-02 07:53:00.000000,2017-06-02 06:00:00.000000,60.37565231323242,-51.487911224365234,,3.8577499985694885,34.33592414855957,339.27186584472656,106.88,21.83560599160171,1.940906985249541e-05,-8.171792365636676e-08,7.163031492631621e-09,-3.979204584041622e-07,-4.7247535056789734e-07,2.046083058487779e-05,-1.5604323466291458e-09,-1.3827357783559273e-08,4.194834243753155e-07,4.040956342451271e-07
0,4902383,40.0,2017-06-12 07:54:59.999999,2017-06-12 06:00:00.000000,60.047813415527344,-51.35923767089844,,4.09975004196167,34.645901679992676,309.14488220214844,98.19,-5.707918206039949,5.089814775969162e-05,7.02537089243566e-07,2.8859804294742654e-07,1.6505529258846623e-07,1.1561904247794588e-06,0.00011570141543875994,-4.8075455339905694e-08,-4.279309723077882e-07,-3.752028672695257e-07,-8.512092949172196e-07
0,4902383,49.0,2017-09-10 07:54:59.999999,2017-09-10 06:00:00.000000,59.06145095825195,-51.64894104003906,,9.093750238418579,34.44796562194824,271.5104293823242,96.57,-9.656901176729491,3.7571940544103894e-05,3.251728922428063e-07,5.213311924795037e-08,3.6604975829126397e-07,7.433557697820206e-07,6.647219837210845e-05,-1.2869519443317886e-08,-1.1908162064739173e-07,-6.476144642738613e-07,-7.795656043645709e-07
0,4902383,50.0,2017-09-20 07:49:00.000000,2017-09-20 06:00:00.000000,59.2195930480957,-51.885379791259766,,7.686666647593181,34.53003946940104,276.16100056966144,95.26,-13.748385903589508,4.344884737896828e-06,9.862925771419889e-10,1.465917571564245e-11,6.513988768499376e-08,6.614083943785139e-08,9.234631050786775e-07,-0.0,-0.0,-1.3844851261849303e-08,-1.3844851261849303e-08
0,4902383,51.0,2017-09-30 07:45:00.000000,2017-09-30 06:00:00.000000,58.81424331665039,-50.911861419677734,,6.635500073432922,34.5003023147583,283.7375946044922,95.54,-13.237195980035267,2.5040628461639287e-05,1.1504333866688455e-07,1.4168847861125179e-08,2.6741876889965786e-07,3.9663095542766757e-07,3.156079251788343e-05,-3.315619603141414e-09,-3.0123053798835527e-08,-3.370501780160751e-07,-3.7048885141805204e-07
0,4902409,7.0,2017-12-13 04:54:00.000000,2017-12-13 06:00:00.000000,59.20364761352539,-52.31684875488281,,4.380750060081482,34.69375419616699,291.09912872314453,93.11,-21.526480972160357,3.3809248700345936e-05,5.638167199674421e-07,5.771080136679609e-08,7.485048594268815e-07,1.3700323807611196e-06,6.123119560746996e-05,-1.4830893588216284e-08,-1.3239139840385686e-07,-1.3556008850394907e-06,-1.5028231770315638e-06
0,4902409,9.0,2018-01-02 04:54:59.999999,2018-01-02 06:00:00.000000,58.98892593383789,-50.641719818115234,,3.3913333415985107,34.7930596669515,295.4629313151042,92.35,-24.480079454677195,4.3688206405130196e-05,1.2981867473163844e-06,1.730410948049495e-07,9.958879760409147e-07,2.4671158181622484e-06,9.27989227105782e-05,-3.384952982484164e-08,-2.9969958654422137e-07,-2.1153839656407278e-06,-2.4489330820097908e-06
0,4902409,10.0,2018-01-12 04:46:00.000000,2018-01-12 06:00:00.000000,58.936405181884766,-49.6829833984375,,3.5895000100135803,34.80910682678223,291.57811737060547,91.59,-26.78795513804897,1.9888537458830882e-05,1.2421038962057314e-07,8.119883256780505e-09,4.3913740273540343e-07,5.714676756127571e-07,2.1662452019639496e-05,-1.7754819998889158e-09,-1.5750430554615955e-08,-4.783053020603546e-07,-4.958312146148594e-07
0,4902409,11.0,2018-01-22 04:50:00.000000,2018-01-22 06:00:00.000000,59.10210418701172,-49.36956024169922,,3.4554000377655028,34.83616714477539,290.829931640625,91.07,-28.510064763966625,2.2336374448734397e-05,1.6685307046449474e-07,1.2899017157892797e-08,4.6831933718817856e-07,6.480714248105662e-07,2.742605946840768e-05,-3.019407473006475e-09,-2.6757917537285797e-08,-5.750330708955334e-07,-6.048103959058256e-07
0,4902409,12.0,2018-02-01 04:09:59.999999,2018-02-01 06:00:00.000000,58.90415954589844,-49.46360397338867,,3.6424999833106995,34.87471961975098,289.02050018310547,90.94,-28.7788119571631,4.7402248704499484e-05,1.3762933584875224e-06,2.307348973136337e-07,8.637326005458447e-07,2.470760856347001e-06,0.00010462543391131247,-4.017378827824597e-08,-3.567329866460418e-07,-1.906415847037178e-06,-2.3033226219614657e-06
0,4902409,13.0,2018-02-11 04:04:00.000000,2018-02-11 06:00:00.000000,58.1299934387207,-48.03820037841797,,3.4590001106262207,34.871724446614586,289.88169352213544,90.81,-29.344386644165013,5.265339636846689e-05,2.5790027025926703e-06,3.531490826021652e-07,1.4208653827944439e-06,4.353017167989279e-06,0.0001228258146418735,-5.5396666582439974e-08,-4.910715683503863e-07,-3.314486057402388e-06,-3.860954292335214e-06
