,WMO,Prof,Date,Lat,Lon,O2Inv,O2EqInv
58,4900879.0,59.0,2008-01-11 08:43:00.000000,51.768001556396484,-46.51900100708008,30.063595412659144,31.224602087562594
59,4900879.0,60.0,2008-01-21 05:47:59.999999,51.6879997253418,-46.73500061035156,30.149235654053516,31.29525130422677
60,4900879.0,61.0,2008-01-31 09:12:00.000000,51.49100112915039,-47.34299850463867,30.41954335495986,31.737143603650118
61,4900879.0,62.0,2008-02-10 05:44:00.000000,51.520999908447266,-47.082000732421875,30.88793787147036,31.93957959108887
62,4900879.0,63.0,2008-02-20 05:39:59.999999,51.69200134277344,-46.72200012207031,30.600909736025947,31.539450272250967
63,4900879.0,64.0,2008-03-01 08:50:00.000000,52.013999938964844,-47.15999984741211,30.63043284273011,31.623089050553492
64,4900879.0,65.0,2008-03-11 06:23:00.000000,52.05500030517578,-47.61899948120117,30.84696232983672,31.706005472575075
65,4900879.0,66.0,2008-03-21 08:47:59.999999,51.832000732421875,-48.354000091552734,31.29988880157677,32.11244930110365
66,4900879.0,67.0,2008-03-31 05:25:00.000000,52.340999603271484,-49.108001708984375,31.453810370419998,31.99140847562534
67,4900879.0,68.0,2008-04-10 08:39:59.999999,52.165000915527344,-48.816001892089844,31.95765373289982,32.11690124064109
68,4900879.0,69.0,2008-04-20 05:18:00.000000,52.04999923706055,-48.48099899291992,32.114020427181416,32.160022197788784
69,4900879.0,70.0,2008-04-30 08:21:00.000000,51.638999938964844,-48.492000579833984,31.887899989713816,31.78463285176807
70,4900879.0,71.0,2008-05-10 05:10:59.999999,51.018001556396484,-48.310001373291016,32.37877663092013,31.82828271528119
71,4900879.0,72.0,2008-05-20 08:26:00.000000,50.35300064086914,-48.354000091552734,32.47670868148183,31.874934492033912
72,4900879.0,73.0,2008-05-30 09:09:00.000000,49.85900115966797,-48.743988037109375,31.47421968392962,31.273010534384444
73,4900879.0,74.0,2008-06-09 08:53:00.000000,49.069000244140625,-48.89099884033203,32.06305340739146,31.717145731634947
74,4900879.0,75.0,2008-06-19 04:54:59.999999,48.72200012207031,-48.268001556396484,31.85705845775189,31.5634779729543
75,4900879.0,76.0,2008-06-29 04:54:00.000000,48.3849983215332,-47.60200119018555,31.942974280634925,32.26049022088173
76,4900879.0,77.0,2008-07-09 09:40:00.000000,48.47800064086914,-46.367000579833984,31.589276122176187,32.27177680358462
77,4900879.0,78.0,2008-07-19 07:43:00.000000,48.983001708984375,-45.16699981689453,30.736071667052165,30.52612823779514
0,4900880.0,1.0,2006-06-09 07:42:00.000000,61.244998931884766,-50.520999908447266,33.055322072189675,33.43681812459537
1,4900880.0,2.0,2006-06-19 08:31:59.999999,61.92900085449219,-51.025001525878906,32.00482338741649,32.154274117703636
2,4900880.0,3.0,2006-06-29 11:27:00.000000,62.24700164794922,-51.12900161743164,34.846661629958014,33.936458940087164
3,4900880.0,4.0,2006-07-09 07:28:00.000000,62.52299880981445,-53.0099983215332,33.309170524334554,33.32653295422547
4,4900880.0,5.0,2006-07-19 07:56:00.000000,62.70199966430664,-53.63199996948242,32.24016802870212,32.37800046242132
5,4900880.0,6.0,2006-07-29 13:23:00.000000,63.04399871826172,-54.50400161743164,31.490830561882152,31.84449340807693
6,4900880.0,7.0,2006-08-08 11:37:00.001000,63.30699920654297,-55.53200149536133,31.206917653941392,31.81103888371943
7,4900880.0,8.0,2006-08-18 11:38:00.000000,63.35900115966797,-56.38100051879883,31.047155284905667,31.7832598714035
8,4900880.0,9.0,2006-08-28 12:09:00.000000,63.564998626708984,-56.61199951171875,32.025471248494,32.46788708828316
9,4900880.0,10.0,2006-09-07 11:07:00.000000,63.61800003051758,-56.56700134277344,31.215598942960625,32.11652655785244
10,4900880.0,11.0,2006-09-17 11:22:00.000000,63.63199996948242,-56.630001068115234,30.318796657517815,31.083284508273614
11,4900880.0,12.0,2006-09-27 11:31:59.999999,63.62300109863281,-56.82699966430664,30.346768247309083,31.321652573139744
12,4900880.0,13.0,2006-10-07 11:49:00.000000,63.59199905395508,-57.555999755859375,30.018019706130705,31.223890670871658
13,4900880.0,14.0,2006-10-17 12:14:00.000000,63.48899841308594,-57.75400161743164,30.715724261001732,31.791206930839174
14,4900880.0,15.0,2006-10-27 11:58:00.000000,63.17300033569336,-58.04399871826172,30.270429778939583,31.502759153224318
15,4900880.0,16.0,2006-11-06 11:38:00.000000,62.74800109863281,-58.55699920654297,31.130397952085683,32.25667948418187
16,4900880.0,17.0,2006-11-16 11:23:00.000000,62.38600158691406,-59.04199981689453,31.029540005247803,32.31828234931173
17,4900880.0,18.0,2006-11-26 11:12:00.000000,62.34299850463867,-59.21200180053711,31.63900853548562,32.780326029911166
18,4900880.0,19.0,2006-12-06 12:08:00.000000,62.303001403808594,-59.4630012512207,31.988537591038277,33.03207969263064
19,4900880.0,20.0,2006-12-16 12:03:00.000000,61.724998474121094,-59.874000549316406,31.63574381096404,33.0401912724131
