,WMO,Prof,Date,Lat,Lon,O2Inv,O2EqInv
3,4901142.0,4.0,2010-06-17 20:41:00.000000,58.770999908447266,-51.625999450683594,516.6243637672441,571.3855424284233
4,4901142.0,5.0,2010-06-27 18:29:00.000000,58.89699935913086,-51.768001556396484,517.840431637016,571.0675086146629
5,4901142.0,6.0,2010-07-07 21:02:00.000000,58.957000732421875,-52.25699996948242,518.026674800223,570.7219061272745
6,4901142.0,7.0,2010-07-17 18:28:00.000000,59.03799819946289,-52.28799819946289,517.8600467723103,570.8847830792076
7,4901142.0,8.0,2010-07-27 21:27:00.000000,59.33599853515625,-52.37300109863281,519.4436729813258,571.2173715002959
8,4901142.0,9.0,2010-08-06 18:29:00.000000,59.638999938964844,-51.768001556396484,520.0144440618823,564.8439571208798
9,4901142.0,10.0,2010-08-16 20:54:00.000000,59.624000549316406,-52.13800048828125,519.5465378056481,562.4251851610844
10,4901142.0,11.0,2010-08-26 18:16:00.000000,59.76499938964844,-53.137001037597656,519.3221549451782,561.5253832949978
11,4901142.0,12.0,2010-09-05 20:59:00.000000,59.0890007019043,-53.14099884033203,516.8469526846133,563.3462535401115
12,4901142.0,13.0,2010-09-15 18:02:00.000000,59.06100082397461,-54.0260009765625,520.0575616297086,567.5543068452781
13,4901142.0,14.0,2010-09-25 20:45:00.000000,59.222999572753906,-52.375999450683594,516.6624043467524,566.8641031226723
14,4901142.0,15.0,2010-10-05 18:27:00.000000,59.35100173950195,-51.03200149536133,516.0825288648367,566.9315386631002
15,4901142.0,16.0,2010-10-15 20:46:00.000000,59.766998291015625,-52.28300094604492,516.8353469629084,566.6986240398395
16,4901142.0,17.0,2010-10-25 18:04:00.000000,60.22700119018555,-53.15599822998047,515.6510084460936,565.4063696011284
17,4901142.0,18.0,2010-11-04 20:42:00.000000,60.40599822998047,-53.2400016784668,515.3074372840333,565.7803027304931
18,4901142.0,19.0,2010-11-14 17:54:00.000000,60.28099822998047,-53.28099822998047,516.7827750056651,566.2406628700104
19,4901142.0,20.0,2010-11-24 21:14:00.000000,59.474998474121094,-53.64099884033203,517.1002720219449,567.2127764429738
20,4901142.0,21.0,2010-12-04 18:12:00.000000,58.99700164794922,-53.3489990234375,518.1881261505158,567.2259960776255
21,4901142.0,22.0,2010-12-14 20:39:00.000000,59.266998291015625,-52.68199920654297,520.2685836841965,567.2775560257622
22,4901142.0,23.0,2010-12-24 18:08:00.000000,59.500999450683594,-50.89799880981445,520.6941224990268,568.9163126503477
23,4901142.0,24.0,2011-01-03 20:38:00.000000,58.63600158691406,-51.441001892089844,521.0483965435408,568.5567652685413
24,4901142.0,25.0,2011-01-13 17:36:00.000000,58.62300109863281,-52.11800003051758,521.3331434753161,569.0239218521125
25,4901142.0,26.0,2011-01-23 19:58:00.000000,58.84600067138672,-51.99800109863281,522.6067819229391,569.3854393671655
26,4901142.0,27.0,2011-02-02 17:19:00.000000,58.30699920654297,-51.72999954223633,523.1316104742602,567.0313706901295
27,4901142.0,28.0,2011-02-12 17:45:00.000000,58.571998596191406,-51.250999450683594,524.1855281499276,569.6895077247503
28,4901142.0,29.0,2011-02-22 20:06:00.000000,58.382999420166016,-51.44200134277344,524.5631256765614,571.1111781467155
29,4901142.0,30.0,2011-03-04 17:21:00.000000,58.750999450683594,-51.03200149536133,522.1196387010217,570.6324929798263
30,4901142.0,31.0,2011-03-14 19:58:00.000000,59.01499938964844,-50.91299819946289,527.046097735365,568.7966280499024
31,4901142.0,32.0,2011-03-24 17:30:00.000000,59.1510009765625,-51.321998596191406,524.213554553393,570.7105474503877
32,4901142.0,33.0,2011-04-03 20:06:00.000000,60.10200119018555,-51.2869987487793,527.7314205456585,570.3711451564994
33,4901142.0,34.0,2011-04-13 17:50:00.000000,59.518001556396484,-52.513999938964844,522.1621869806603,570.3057948208311
34,4901142.0,35.0,2011-04-23 20:10:00.000000,60.10100173950195,-51.13100051879883,530.620516870597,570.0576661617717
35,4901142.0,36.0,2011-05-03 17:41:00.000000,59.79899978637695,-52.257999420166016,526.201285250519,571.6468373476174
36,4901142.0,37.0,2011-05-13 20:01:00.000000,59.691001892089844,-51.74800109863281,525.0655551498162,571.1853989818663
37,4901142.0,38.0,2011-05-23 17:43:00.000000,60.06999969482422,-50.395999908447266,523.6723890544044,571.1139178318839
38,4901142.0,39.0,2011-06-02 20:08:00.000000,61.11199951171875,-49.96200180053711,530.2642185061574,573.8605924654493
40,4901142.0,41.0,2011-06-22 18:08:00.000000,61.930999755859375,-50.909000396728516,528.8752220314439,571.0884049247227
41,4901142.0,42.0,2011-07-02 18:14:00.000000,61.99599838256836,-51.0989990234375,520.3808603273852,565.7336565450503
42,4901142.0,43.0,2011-07-12 20:05:00.000000,62.41699981689453,-51.86899948120117,516.0337449412261,564.6714977241883
43,4901142.0,44.0,2011-07-22 20:13:00.000000,62.71799850463867,-52.91400146484375,513.911536970901,563.3614940626406
44,4901142.0,45.0,2011-08-01 18:16:59.999999,63.04600143432617,-53.042999267578125,519.7411381248537,562.8450686663862
45,4901142.0,46.0,2011-08-11 20:01:00.000000,63.04999923706055,-53.21200180053711,514.166857907978,561.9035820434042
47,4901142.0,48.0,2011-08-31 17:25:00.000000,62.784000396728516,-54.88999938964844,510.85898898102033,564.7450640353579
49,4901142.0,50.0,2011-09-20 20:10:00.000000,63.26599884033203,-56.7239990234375,511.80944496223105,563.6960410924236
50,4901142.0,51.0,2011-09-30 20:18:00.000000,63.29999923706055,-57.244998931884766,512.4585340395046,563.2588198067837
51,4901142.0,52.0,2011-10-10 19:52:00.000000,63.0369987487793,-57.880001068115234,511.962854415315,563.1886002272046
56,4901142.0,57.0,2011-11-29 20:02:59.999999,60.8129997253418,-60.25299835205078,510.3424644952991,566.2831273441465
57,4901142.0,58.0,2011-12-09 17:05:00.000000,60.30699920654297,-60.016998291015625,511.1519204604574,567.5467550622672
58,4901142.0,59.0,2011-12-19 16:54:00.000000,60.22100067138672,-59.33399963378906,511.47394010785746,567.7608366502113
59,4901142.0,60.0,2011-12-29 16:41:00.000000,60.1870002746582,-58.92900085449219,513.1139124683345,569.4294051880486
60,4901142.0,61.0,2012-01-08 16:50:00.000000,60.2869987487793,-59.499000549316406,514.8552069047574,570.0983148118195
61,4901142.0,62.0,2012-01-18 16:54:00.000000,60.104000091552734,-58.90999984741211,510.53888453030345,568.476044637645
62,4901142.0,63.0,2012-01-28 17:20:00.000000,60.20000076293945,-58.8650016784668,509.3637543605342,568.9813337325015
63,4901142.0,64.0,2012-02-07 17:00:00.000000,60.29100036621094,-58.86399841308594,509.61066909800087,568.7015929205818
64,4901142.0,65.0,2012-02-17 17:27:00.000000,60.534000396728516,-58.20800018310547,513.0517558569469,571.2018290320303
65,4901142.0,66.0,2012-02-27 17:35:00.000000,60.38600158691406,-58.20199966430664,514.6864823829492,571.8222006150742
66,4901142.0,67.0,2012-03-08 17:38:00.000000,59.85300064086914,-58.72100067138672,511.2573004358108,569.7245987428324
67,4901142.0,68.0,2012-03-18 20:15:00.000000,59.875999450683594,-58.60100173950195,509.7883261675771,571.9765284316767
68,4901142.0,69.0,2012-03-28 16:54:59.999999,59.0369987487793,-58.83300018310547,520.4389708652636,581.963753908444
69,4901142.0,70.0,2012-04-07 20:15:00.000000,58.56800079345703,-58.99300003051758,511.5419569701119,573.816517055795
70,4901142.0,71.0,2012-04-17 17:47:59.999999,58.48099899291992,-58.474998474121094,507.1495755003457,571.6211614015575
71,4901142.0,72.0,2012-04-27 17:36:00.000000,58.23899841308594,-58.676998138427734,509.6850825694308,571.3208508853089
72,4901142.0,73.0,2012-05-07 20:13:00.000000,57.92300033569336,-57.70800018310547,509.9707628043879,569.9871608546783
73,4901142.0,74.0,2012-05-17 17:47:00.000000,57.41699981689453,-56.834999084472656,513.0914007584231,570.8034988652597
74,4901142.0,75.0,2012-05-27 20:18:00.000000,56.92399978637695,-56.59600067138672,514.4009954948966,571.750304558834
75,4901142.0,76.0,2012-06-06 17:42:00.000000,56.41999816894531,-56.41400146484375,517.5662509944099,571.6808552536013
76,4901142.0,77.0,2012-06-16 20:18:00.000000,55.64799880981445,-56.1870002746582,514.4114616227185,570.0871433807234
77,4901142.0,78.0,2012-06-26 20:21:00.000000,55.229000091552734,-54.19200134277344,512.3689152087485,572.2564122337474
78,4901142.0,79.0,2012-07-06 20:07:00.000000,54.60300064086914,-52.527000427246094,512.0027078467549,570.4995408665307
79,4901142.0,80.0,2012-07-16 17:16:00.000000,53.73099899291992,-51.16699981689453,510.656604404212,569.8184630645301
80,4901142.0,81.0,2012-07-26 17:42:00.000000,53.82899856567383,-51.51599884033203,510.2538750963685,568.9881400112006
81,4901142.0,82.0,2012-08-05 17:49:00.000000,53.2859992980957,-50.9630012512207,511.732346012976,569.3608026045349
0,4901779.0,0.0,2015-05-15 09:59:00.000000,56.31079864501953,-52.926300048828125,522.8134095802177,576.4243560926523
1,4901779.0,1.0,2015-05-24 13:50:00.000000,57.18830108642578,-54.465301513671875,520.718911574863,576.4611138727112
2,4901779.0,2.0,2015-06-03 13:40:00.000000,56.62540054321289,-52.456199645996094,520.7425314057418,576.5308818906069
3,4901779.0,3.0,2015-06-13 13:50:00.000000,57.202980041503906,-51.110389709472656,518.3078622533816,576.5012893526183
4,4901779.0,4.0,2015-06-23 13:49:00.000000,57.15019989013672,-49.6598014831543,517.3947015530545,575.9538407238717
5,4901779.0,5.0,2015-07-03 13:46:59.999999,57.4099006652832,-48.885799407958984,515.4399790243399,575.5764719035823
6,4901779.0,6.0,2015-07-13 13:43:00.000000,57.663700103759766,-48.8568000793457,514.0614106129491,575.1755333209275
7,4901779.0,7.0,2015-07-23 13:46:00.000000,57.129600524902344,-47.32590103149414,509.12849329079376,574.3215347662365
8,4901779.0,8.0,2015-08-02 13:46:59.999999,57.256500244140625,-46.30379867553711,507.6816514116827,574.4294753079666
0,4901780.0,0.0,2015-05-15 04:32:00.000000,56.90019989013672,-52.24380111694336,516.9293703181826,576.3056528024936
1,4901780.0,1.0,2015-05-24 14:34:00.000000,56.77370071411133,-51.95790100097656,511.8651098080082,575.8754391678409
2,4901780.0,2.0,2015-06-03 14:39:59.999999,57.089900970458984,-51.385101318359375,509.7623611875114,575.7832021231968
3,4901780.0,3.0,2015-06-13 14:43:00.000000,57.86735916137695,-51.40745544433594,508.16842617266343,575.8076493332331
5,4901780.0,5.0,2015-07-03 14:43:00.000000,57.574798583984375,-55.04199981689453,505.3897394429363,574.9683846319339
6,4901780.0,6.0,2015-07-13 14:43:00.000000,57.78369903564453,-55.95819854736328,501.1957425245504,574.9774997485473
8,4901780.0,9.0,2015-08-12 14:47:00.000000,57.397701263427734,-56.36429977416992,498.2243319898525,573.6128852700292
9,4901780.0,10.0,2015-08-22 14:46:00.000000,56.805999755859375,-55.98270034790039,496.3201181764769,573.1550048388166
10,4901780.0,11.0,2015-09-01 14:43:00.000000,56.487117767333984,-54.94884490966797,495.65151483867214,572.6888828022351
11,4901780.0,12.0,2015-09-11 14:44:00.000000,56.66339874267578,-55.476200103759766,492.6122285575194,572.514472201925
