,BC_1,BC_2,BC_3,BC_4,BC_BC,BC_LSG,LSG_BC,LSG_LSG
93,1.0,1.9000000000000001,1.6000000000000005,1.2000000000000002,84.25,16.55,16.96,53.06
94,1.0,1.9000000000000001,1.6000000000000005,1.3000000000000003,84.57,16.59,16.96,53.06
95,1.0,1.9000000000000001,1.6000000000000005,1.4000000000000004,84.73,16.59,16.96,53.06
96,1.0,1.9000000000000001,1.6000000000000005,1.5000000000000004,85.22,16.59,16.96,53.06
97,1.0,1.9000000000000001,1.6000000000000005,1.6000000000000005,85.54,16.59,16.96,53.06
98,1.0,2.0,1.0,1.0,83.93,13.34,16.96,53.06
99,1.0,2.0,1.0,1.1,84.33,13.41,16.96,53.06
100,1.0,2.0,1.0,1.2000000000000002,84.73,13.48,16.96,53.06
101,1.0,2.0,1.0,1.3000000000000003,85.06,13.55,16.96,53.06
102,1.0,2.0,1.0,1.4000000000000004,85.22,13.55,16.96,53.06
103,1.0,2.0,1.0,1.5000000000000004,85.78,13.55,16.96,53.06
104,1.0,2.0,1.0,1.6000000000000005,86.19,13.58,16.96,53.06
105,1.0,2.0,1.1,1.0,84.25,13.94,16.96,53.06
106,1.0,2.0,1.1,1.1,84.57,14.01,16.96,53.06
107,1.0,2.0,1.1,1.2000000000000002,84.89,14.08,16.96,53.06
108,1.0,2.0,1.1,1.3000000000000003,85.22,14.11,16.96,53.06
109,1.0,2.0,1.1,1.4000000000000004,85.38,14.11,16.96,53.06
110,1.0,2.0,1.1,1.5000000000000004,85.95,14.11,16.96,53.06
111,1.0,2.0,1.1,1.6000000000000005,86.27,14.11,16.96,53.06
112,1.0,2.0,1.2000000000000002,1.0,84.41,14.5,16.96,53.06
113,1.0,2.0,1.2000000000000002,1.1,84.73,14.57,16.96,53.06
114,1.0,2.0,1.2000000000000002,1.2000000000000002,84.98,14.64,16.96,53.06
115,1.0,2.0,1.2000000000000002,1.3000000000000003,85.3,14.68,16.96,53.06
116,1.0,2.0,1.2000000000000002,1.4000000000000004,85.46,14.68,16.96,53.06
117,1.0,2.0,1.2000000000000002,1.5000000000000004,86.03,14.68,16.96,53.06
118,1.0,2.0,1.2000000000000002,1.6000000000000005,86.35,14.68,16.96,53.06
119,1.0,2.0,1.3000000000000003,1.0,84.49,15.0,16.96,53.06
120,1.0,2.0,1.3000000000000003,1.1,84.81,15.07,16.96,53.06
121,1.0,2.0,1.3000000000000003,1.2000000000000002,84.98,15.1,16.96,53.06
122,1.0,2.0,1.3000000000000003,1.3000000000000003,85.3,15.14,16.96,53.06
123,1.0,2.0,1.3000000000000003,1.4000000000000004,85.46,15.14,16.96,53.06
124,1.0,2.0,1.3000000000000003,1.5000000000000004,86.03,15.14,16.96,53.06
125,1.0,2.0,1.3000000000000003,1.6000000000000005,86.35,15.14,16.96,53.06
126,1.0,2.0,1.4000000000000004,1.0,84.57,15.53,16.96,53.06
127,1.0,2.0,1.4000000000000004,1.1,84.89,15.6,16.96,53.06
128,1.0,2.0,1.4000000000000004,1.2000000000000002,85.06,15.63,16.96,53.06
129,1.0,2.0,1.4000000000000004,1.3000000000000003,85.38,15.67,16.96,53.06
130,1.0,2.0,1.4000000000000004,1.4000000000000004,85.54,15.67,16.96,53.06
131,1.0,2.0,1.4000000000000004,1.5000000000000004,86.11,15.67,16.96,53.06
132,1.0,2.0,1.4000000000000004,1.6000000000000005,86.43,15.67,16.96,53.06
133,1.0,2.0,1.5000000000000004,1.0,85.14,15.85,16.96,53.06
134,1.0,2.0,1.5000000000000004,1.1,85.38,15.92,16.96,53.06
135,1.0,2.0,1.5000000000000004,1.2000000000000002,85.54,15.95,16.96,53.06
136,1.0,2.0,1.5000000000000004,1.3000000000000003,85.86,15.99,16.96,53.06
137,1.0,2.0,1.5000000000000004,1.4000000000000004,86.03,15.99,16.96,53.06
138,1.0,2.0,1.5000000000000004,1.5000000000000004,86.51,15.99,16.96,53.06
139,1.0,2.0,1.5000000000000004,1.6000000000000005,86.83,15.99,16.96,53.06
140,1.0,2.0,1.6000000000000005,1.0,85.38,16.66,16.96,53.06
141,1.0,2.0,1.6000000000000005,1.1,85.62,16.73,16.96,53.06
142,1.0,2.0,1.6000000000000005,1.2000000000000002,85.78,16.77,16.96,53.06
143,1.0,2.0,1.6000000000000005,1.3000000000000003,86.11,16.8,16.96,53.06
144,1.0,2.0,1.6000000000000005,1.4000000000000004,86.27,16.8,16.96,53.06
145,1.0,2.0,1.6000000000000005,1.5000000000000004,86.75,16.8,16.96,53.06
146,1.0,2.0,1.6000000000000005,1.6000000000000005,87.08,16.8,16.96,53.06
147,1.0,2.1000000000000005,1.0,1.0,85.54,13.44,16.96,53.06
148,1.0,2.1000000000000005,1.0,1.1,85.95,13.51,16.96,53.06
149,1.0,2.1000000000000005,1.0,1.2000000000000002,86.35,13.58,16.96,53.06
150,1.0,2.1000000000000005,1.0,1.3000000000000003,86.67,13.65,16.96,53.06
151,1.0,2.1000000000000005,1.0,1.4000000000000004,86.83,13.65,16.96,53.06
152,1.0,2.1000000000000005,1.0,1.5000000000000004,87.4,13.65,16.96,53.06
153,1.0,2.1000000000000005,1.0,1.6000000000000005,87.8,13.69,16.96,53.06
154,1.0,2.1000000000000005,1.1,1.0,85.86,14.04,16.96,53.06
155,1.0,2.1000000000000005,1.1,1.1,86.19,14.11,16.96,53.06
156,1.0,2.1000000000000005,1.1,1.2000000000000002,86.51,14.18,16.96,53.06
157,1.0,2.1000000000000005,1.1,1.3000000000000003,86.83,14.22,16.96,53.06
158,1.0,2.1000000000000005,1.1,1.4000000000000004,87.0,14.22,16.96,53.06
159,1.0,2.1000000000000005,1.1,1.5000000000000004,87.56,14.22,16.96,53.06
160,1.0,2.1000000000000005,1.1,1.6000000000000005,87.88,14.22,16.96,53.06
161,1.0,2.1000000000000005,1.2000000000000002,1.0,86.03,14.61,16.96,53.06
162,1.0,2.1000000000000005,1.2000000000000002,1.1,86.35,14.68,16.96,53.06
163,1.0,2.1000000000000005,1.2000000000000002,1.2000000000000002,86.59,14.75,16.96,53.06
164,1.0,2.1000000000000005,1.2000000000000002,1.3000000000000003,86.91,14.79,16.96,53.06
165,1.0,2.1000000000000005,1.2000000000000002,1.4000000000000004,87.08,14.79,16.96,53.06
166,1.0,2.1000000000000005,1.2000000000000002,1.5000000000000004,87.64,14.79,16.96,53.06
167,1.0,2.1000000000000005,1.2000000000000002,1.6000000000000005,87.96,14.79,16.96,53.06
168,1.0,2.1000000000000005,1.3000000000000003,1.0,86.11,15.1,16.96,53.06
169,1.0,2.1000000000000005,1.3000000000000003,1.1,86.43,15.18,16.96,53.06
170,1.0,2.1000000000000005,1.3000000000000003,1.2000000000000002,86.59,15.21,16.96,53.06
171,1.0,2.1000000000000005,1.3000000000000003,1.3000000000000003,86.91,15.25,16.96,53.06
172,1.0,2.1000000000000005,1.3000000000000003,1.4000000000000004,87.08,15.25,16.96,53.06
173,1.0,2.1000000000000005,1.3000000000000003,1.5000000000000004,87.64,15.25,16.96,53.06
174,1.0,2.1000000000000005,1.3000000000000003,1.6000000000000005,87.96,15.25,16.96,53.06
175,1.0,2.1000000000000005,1.4000000000000004,1.0,86.19,15.63,16.96,53.06
176,1.0,2.1000000000000005,1.4000000000000004,1.1,86.51,15.71,16.96,53.06
177,1.0,2.1000000000000005,1.4000000000000004,1.2000000000000002,86.67,15.74,16.96,53.06
178,1.0,2.1000000000000005,1.4000000000000004,1.3000000000000003,87.0,15.78,16.96,53.06
179,1.0,2.1000000000000005,1.4000000000000004,1.4000000000000004,87.16,15.78,16.96,53.06
180,1.0,2.1000000000000005,1.4000000000000004,1.5000000000000004,87.72,15.78,16.96,53.06
181,1.0,2.1000000000000005,1.4000000000000004,1.6000000000000005,88.05,15.78,16.96,53.06
182,1.0,2.1000000000000005,1.5000000000000004,1.0,86.59,15.95,16.96,53.06
183,1.0,2.1000000000000005,1.5000000000000004,1.1,86.83,16.02,16.96,53.06
184,1.0,2.1000000000000005,1.5000000000000004,1.2000000000000002,87.0,16.06,16.96,53.06
185,1.0,2.1000000000000005,1.5000000000000004,1.3000000000000003,87.32,16.09,16.96,53.06
186,1.0,2.1000000000000005,1.5000000000000004,1.4000000000000004,87.48,16.09,16.96,53.06
187,1.0,2.1000000000000005,1.5000000000000004,1.5000000000000004,87.96,16.09,16.96,53.06
188,1.0,2.1000000000000005,1.5000000000000004,1.6000000000000005,88.29,16.09,16.96,53.06
189,1.0,2.1000000000000005,1.6000000000000005,1.0,86.75,16.77,16.96,53.06
190,1.0,2.1000000000000005,1.6000000000000005,1.1,87.0,16.84,16.96,53.06
191,1.0,2.1000000000000005,1.6000000000000005,1.2000000000000002,87.16,16.87,16.96,53.06
192,1.0,2.1000000000000005,1.6000000000000005,1.3000000000000003,87.48,16.91,16.96,53.06
193,1.0,2.1000000000000005,1.6000000000000005,1.4000000000000004,87.64,16.91,16.96,53.06
194,1.0,2.1000000000000005,1.6000000000000005,1.5000000000000004,88.13,16.91,16.96,53.06
195,1.0,2.1000000000000005,1.6000000000000005,1.6000000000000005,88.45,16.91,16.96,53.06
196,1.0,2.2,1.0,1.0,86.51,13.65,16.96,53.06
197,1.0,2.2,1.0,1.1,86.91,13.72,16.96,53.06
198,1.0,2.2,1.0,1.2000000000000002,87.32,13.8,16.96,53.06
199,1.0,2.2,1.0,1.3000000000000003,87.64,13.87,16.96,53.06
200,1.0,2.2,1.0,1.4000000000000004,87.8,13.87,16.96,53.06
201,1.0,2.2,1.0,1.5000000000000004,88.37,13.87,16.96,53.06
202,1.0,2.2,1.0,1.6000000000000005,88.77,13.9,16.96,53.06
203,1.0,2.2,1.1,1.0,86.83,14.26,16.96,53.06
204,1.0,2.2,1.1,1.1,87.16,14.33,16.96,53.06
205,1.0,2.2,1.1,1.2000000000000002,87.48,14.4,16.96,53.06
206,1.0,2.2,1.1,1.3000000000000003,87.8,14.43,16.96,53.06
207,1.0,2.2,1.1,1.4000000000000004,87.96,14.43,16.96,53.06
208,1.0,2.2,1.1,1.5000000000000004,88.53,14.43,16.96,53.06
209,1.0,2.2,1.1,1.6000000000000005,88.85,14.43,16.96,53.06
210,1.0,2.2,1.2000000000000002,1.0,87.0,14.82,16.96,53.06
211,1.0,2.2,1.2000000000000002,1.1,87.32,14.89,16.96,53.06
212,1.0,2.2,1.2000000000000002,1.2000000000000002,87.56,14.96,16.96,53.06
213,1.0,2.2,1.2000000000000002,1.3000000000000003,87.88,15.0,16.96,53.06
214,1.0,2.2,1.2000000000000002,1.4000000000000004,88.05,15.0,16.96,53.06
215,1.0,2.2,1.2000000000000002,1.5000000000000004,88.61,15.0,16.96,53.06
216,1.0,2.2,1.2000000000000002,1.6000000000000005,88.93,15.0,16.96,53.06
217,1.0,2.2,1.3000000000000003,1.0,87.08,15.32,16.96,53.06
218,1.0,2.2,1.3000000000000003,1.1,87.4,15.39,16.96,53.06
219,1.0,2.2,1.3000000000000003,1.2000000000000002,87.56,15.42,16.96,53.06
220,1.0,2.2,1.3000000000000003,1.3000000000000003,87.88,15.46,16.96,53.06
221,1.0,2.2,1.3000000000000003,1.4000000000000004,88.05,15.46,16.96,53.06
222,1.0,2.2,1.3000000000000003,1.5000000000000004,88.61,15.46,16.96,53.06
223,1.0,2.2,1.3000000000000003,1.6000000000000005,88.93,15.46,16.96,53.06
224,1.0,2.2,1.4000000000000004,1.0,87.16,15.85,16.96,53.06
225,1.0,2.2,1.4000000000000004,1.1,87.48,15.92,16.96,53.06
226,1.0,2.2,1.4000000000000004,1.2000000000000002,87.64,15.95,16.96,53.06
227,1.0,2.2,1.4000000000000004,1.3000000000000003,87.96,15.99,16.96,53.06
228,1.0,2.2,1.4000000000000004,1.4000000000000004,88.13,15.99,16.96,53.06
229,1.0,2.2,1.4000000000000004,1.5000000000000004,88.69,15.99,16.96,53.06
230,1.0,2.2,1.4000000000000004,1.6000000000000005,89.01,15.99,16.96,53.06
231,1.0,2.2,1.5000000000000004,1.0,87.56,16.17,16.96,53.06
232,1.0,2.2,1.5000000000000004,1.1,87.8,16.24,16.96,53.06
233,1.0,2.2,1.5000000000000004,1.2000000000000002,87.96,16.27,16.96,53.06
234,1.0,2.2,1.5000000000000004,1.3000000000000003,88.29,16.31,16.96,53.06
235,1.0,2.2,1.5000000000000004,1.4000000000000004,88.45,16.31,16.96,53.06
236,1.0,2.2,1.5000000000000004,1.5000000000000004,88.93,16.31,16.96,53.06
